"","YEAR","SERIAL","PERNUM","STATEFIP","SEX","AGE","RELATE","MOMLOC","POPLOC","NCHILD","MARST","married_dummy","RACE","HISPAN","EDUC","hs_binary","HHINCOME","inc_3cat","NUMPREC","FAMSIZE","GQ","PERWT"
"10195",2011,111846,1,6,2,93,1,0,0,1,5,0,1,0,7,"High School or More",132400,"$20,000+",2,2,1,115
"10196",2011,111846,2,6,2,65,3,1,0,0,5,0,1,0,11,"High School or More",132400,"$20,000+",2,2,1,124
"10197",2011,111895,1,6,2,82,1,0,0,1,5,0,1,0,6,"High School or More",41300,"$20,000+",2,2,1,34
"10198",2011,111895,2,6,2,52,3,1,0,0,4,0,1,0,6,"High School or More",41300,"$20,000+",2,2,1,42
"10199",2011,111962,1,6,1,58,1,0,0,0,1,1,1,0,10,"High School or More",108500,"$20,000+",3,3,1,74
"10200",2011,111962,2,6,2,58,2,3,0,0,1,1,1,0,6,"High School or More",108500,"$20,000+",3,3,1,88
"10201",2011,111962,3,6,2,87,6,0,0,1,5,0,1,0,6,"High School or More",108500,"$20,000+",3,3,1,129
"10202",2011,111967,1,6,2,58,1,3,0,0,1,1,1,0,7,"High School or More",96300,"$20,000+",3,3,1,105
"10203",2011,111967,2,6,1,68,2,0,0,0,1,1,1,0,10,"High School or More",96300,"$20,000+",3,3,1,114
"10204",2011,111967,3,6,2,88,5,0,0,1,5,0,1,0,6,"High School or More",96300,"$20,000+",3,3,1,163
"10205",2011,111979,1,6,2,93,1,0,0,1,5,0,1,0,6,"High School or More",46200,"$20,000+",2,2,1,93
"10206",2011,111979,2,6,2,65,3,1,0,0,6,0,1,0,10,"High School or More",46200,"$20,000+",2,2,1,186
"10207",2011,112041,1,6,1,62,1,0,0,0,1,1,1,0,10,"High School or More",137900,"$20,000+",3,3,1,87
"10208",2011,112041,2,6,2,60,2,3,0,0,1,1,1,0,10,"High School or More",137900,"$20,000+",3,3,1,84
"10209",2011,112041,3,6,2,85,6,0,0,1,5,0,1,0,7,"High School or More",137900,"$20,000+",3,3,1,96
"10210",2011,112060,1,6,2,85,1,0,0,1,5,0,1,0,6,"High School or More",46600,"$20,000+",2,2,1,33
"10211",2011,112060,2,6,1,64,3,1,0,0,4,0,1,0,6,"High School or More",46600,"$20,000+",2,2,1,45
"10212",2011,112120,1,6,1,67,1,3,0,0,1,1,1,0,2,"Less than High School",139150,"$20,000+",3,3,1,63
"10213",2011,112120,2,6,2,67,2,0,0,0,1,1,1,0,10,"High School or More",139150,"$20,000+",3,3,1,58
"10214",2011,112120,3,6,2,93,5,0,0,1,5,0,1,0,2,"Less than High School",139150,"$20,000+",3,3,1,107
"10215",2011,112339,1,6,1,93,1,0,0,1,1,1,1,0,4,"Less than High School",52100,"$20,000+",3,3,1,117
"10216",2011,112339,2,6,2,93,2,0,0,1,1,1,1,0,2,"Less than High School",52100,"$20,000+",3,3,1,110
"10217",2011,112339,3,6,1,63,3,2,1,0,6,0,1,0,4,"Less than High School",52100,"$20,000+",3,3,1,138
"10218",2011,112352,1,6,2,61,1,3,0,0,1,1,1,0,11,"High School or More",129600,"$20,000+",3,3,1,58
"10219",2011,112352,2,6,1,61,2,0,0,0,1,1,1,0,10,"High School or More",129600,"$20,000+",3,3,1,46
"10220",2011,112352,3,6,2,93,5,0,0,1,5,0,1,0,6,"High School or More",129600,"$20,000+",3,3,1,78
"10221",2011,112361,1,6,2,89,1,0,0,1,5,0,1,0,7,"High School or More",35500,"$20,000+",2,2,1,133
"10222",2011,112361,2,6,1,62,3,1,0,0,6,0,1,0,10,"High School or More",35500,"$20,000+",2,2,1,165
"10223",2011,112613,1,6,2,80,1,0,0,1,5,0,1,0,10,"High School or More",93700,"$20,000+",2,2,1,78
"10224",2011,112613,2,6,1,56,3,1,0,0,4,0,1,0,11,"High School or More",93700,"$20,000+",2,2,1,86
"10225",2011,112639,1,6,1,72,1,0,0,0,1,1,1,0,6,"High School or More",42300,"$20,000+",3,3,1,112
"10226",2011,112639,2,6,2,71,2,3,0,0,1,1,1,0,6,"High School or More",42300,"$20,000+",3,3,1,101
"10227",2011,112639,3,6,2,89,6,0,0,1,5,0,1,0,5,"Less than High School",42300,"$20,000+",3,3,1,192
"10228",2011,112665,1,6,2,73,1,2,0,0,5,0,1,0,6,"High School or More",24000,"$20,000+",2,2,1,57
"10229",2011,112665,2,6,2,89,5,0,0,1,5,0,1,0,2,"Less than High School",24000,"$20,000+",2,2,1,69
"10230",2011,112795,1,6,1,49,1,4,0,1,1,1,1,0,10,"High School or More",289500,"$20,000+",5,4,1,50
"10231",2011,112795,2,6,2,48,2,0,0,1,1,1,1,0,11,"High School or More",289500,"$20,000+",5,4,1,51
"10232",2011,112795,3,6,1,14,3,2,1,0,6,0,1,0,2,"Less than High School",289500,"$20,000+",5,4,1,48
"10233",2011,112795,4,6,2,83,5,0,0,1,5,0,1,0,6,"High School or More",289500,"$20,000+",5,4,1,71
"10234",2011,112795,5,6,1,13,12,0,0,0,6,0,1,0,2,"Less than High School",289500,"$20,000+",5,1,1,49
"10235",2011,112984,1,6,1,47,1,0,0,1,1,1,1,0,10,"High School or More",187000,"$20,000+",4,4,1,70
"10236",2011,112984,2,6,2,42,2,4,0,1,1,1,1,0,10,"High School or More",187000,"$20,000+",4,4,1,72
"10237",2011,112984,3,6,2,5,3,2,1,0,6,0,1,0,1,"Less than High School",187000,"$20,000+",4,4,1,53
"10238",2011,112984,4,6,2,80,6,0,0,1,4,0,1,0,7,"High School or More",187000,"$20,000+",4,4,1,86
"10239",2011,113071,1,6,2,81,1,0,0,1,5,0,1,0,10,"High School or More",51000,"$20,000+",2,2,1,94
"10240",2011,113071,2,6,1,54,3,1,0,0,4,0,1,0,8,"High School or More",51000,"$20,000+",2,2,1,140
"10241",2011,113107,1,6,1,93,1,0,0,1,4,0,1,0,10,"High School or More",65800,"$20,000+",3,3,1,97
"10242",2011,113107,2,6,1,64,3,3,1,0,6,0,1,0,10,"High School or More",65800,"$20,000+",3,3,1,115
"10243",2011,113117,1,6,2,85,1,0,0,2,1,1,1,0,11,"High School or More",193220,"$20,000+",4,4,1,86
"10244",2011,113117,2,6,1,89,2,0,0,2,1,1,1,0,11,"High School or More",193220,"$20,000+",4,4,1,58
"10245",2011,113117,3,6,2,55,3,1,2,0,4,0,1,0,11,"High School or More",193220,"$20,000+",4,4,1,93
"10246",2011,113117,4,6,1,46,3,1,2,0,6,0,1,0,11,"High School or More",193220,"$20,000+",4,4,1,93
"10247",2011,113428,1,6,2,56,1,2,0,0,5,0,1,0,6,"High School or More",71200,"$20,000+",2,2,1,42
"10248",2011,113428,2,6,2,82,5,0,0,1,5,0,1,0,10,"High School or More",71200,"$20,000+",2,2,1,65
"10249",2011,113431,1,6,2,59,1,3,2,0,4,0,1,0,11,"High School or More",125000,"$20,000+",3,3,1,56
"10250",2011,113431,2,6,1,88,5,0,0,1,1,1,1,0,10,"High School or More",125000,"$20,000+",3,3,1,96
"10251",2011,113431,3,6,2,86,5,0,0,1,1,1,1,0,10,"High School or More",125000,"$20,000+",3,3,1,89
"10252",2011,113464,1,6,2,59,1,2,0,0,3,0,1,0,10,"High School or More",98000,"$20,000+",2,2,1,61
"10253",2011,113464,2,6,2,89,5,0,0,1,5,0,1,0,6,"High School or More",98000,"$20,000+",2,2,1,62
"10254",2011,113570,1,6,1,83,1,0,0,1,1,1,1,0,7,"High School or More",121200,"$20,000+",3,3,1,47
"10255",2011,113570,2,6,2,79,2,0,0,1,1,1,1,0,7,"High School or More",121200,"$20,000+",3,3,1,53
"10256",2011,113570,3,6,1,44,3,2,1,0,6,0,1,0,7,"High School or More",121200,"$20,000+",3,3,1,60
"10257",2011,113703,1,6,1,61,1,0,2,0,4,0,1,0,7,"High School or More",61500,"$20,000+",3,3,1,202
"10258",2011,113703,2,6,1,85,5,0,0,1,5,0,1,0,6,"High School or More",61500,"$20,000+",3,3,1,249
"10259",2011,113703,3,6,2,63,11,0,0,0,5,0,1,0,6,"High School or More",61500,"$20,000+",3,3,1,193
"10260",2011,113704,1,6,2,93,1,0,0,1,5,0,1,0,8,"High School or More",64000,"$20,000+",2,2,1,37
"10261",2011,113704,2,6,1,56,3,1,0,0,4,0,1,0,7,"High School or More",64000,"$20,000+",2,2,1,47
"10262",2011,113707,1,6,1,85,1,0,0,1,1,1,1,0,10,"High School or More",97500,"$20,000+",3,3,1,121
"10263",2011,113707,2,6,2,81,2,0,0,1,1,1,1,0,7,"High School or More",97500,"$20,000+",3,3,1,106
"10264",2011,113707,3,6,2,60,3,2,1,0,6,0,1,0,10,"High School or More",97500,"$20,000+",3,3,1,152
"10265",2011,113714,1,6,2,76,1,0,0,1,1,1,1,0,8,"High School or More",129200,"$20,000+",3,3,1,47
"10266",2011,113714,2,6,1,89,2,0,0,1,1,1,1,0,6,"High School or More",129200,"$20,000+",3,3,1,46
"10267",2011,113714,3,6,1,47,3,1,2,0,6,0,1,0,6,"High School or More",129200,"$20,000+",3,3,1,87
"10268",2011,113913,1,6,2,85,1,0,0,1,5,0,1,0,6,"High School or More",2120,"< $20,000",2,2,1,78
"10269",2011,113913,2,6,1,63,3,1,0,0,6,0,1,0,6,"High School or More",2120,"< $20,000",2,2,1,123
"10270",2011,113926,1,6,2,64,1,0,0,1,1,1,1,0,8,"High School or More",385300,"$20,000+",4,3,1,56
"10271",2011,113926,2,6,1,81,2,0,0,1,1,1,1,0,11,"High School or More",385300,"$20,000+",4,3,1,58
"10272",2011,113926,3,6,2,33,3,1,2,0,6,0,1,0,10,"High School or More",385300,"$20,000+",4,3,1,124
"10273",2011,113926,4,6,1,35,11,0,0,0,6,0,1,0,6,"High School or More",385300,"$20,000+",4,1,1,110
"10274",2011,113937,1,6,1,68,1,3,0,0,1,1,1,0,8,"High School or More",89600,"$20,000+",3,3,1,44
"10275",2011,113937,2,6,2,65,2,0,0,0,1,1,1,0,6,"High School or More",89600,"$20,000+",3,3,1,38
"10276",2011,113937,3,6,2,89,5,0,0,1,5,0,1,0,6,"High School or More",89600,"$20,000+",3,3,1,57
"10277",2011,113991,1,6,1,93,1,0,0,1,5,0,1,0,6,"High School or More",94510,"$20,000+",2,2,1,42
"10278",2011,113991,2,6,1,60,3,0,1,0,4,0,1,0,7,"High School or More",94510,"$20,000+",2,2,1,74
"10279",2011,114033,1,6,2,84,1,0,0,1,1,1,1,0,6,"High School or More",26500,"$20,000+",3,3,1,26
"10280",2011,114033,2,6,1,89,2,0,0,1,1,1,1,0,6,"High School or More",26500,"$20,000+",3,3,1,33
"10281",2011,114033,3,6,2,64,3,1,2,0,3,0,1,0,6,"High School or More",26500,"$20,000+",3,3,1,47
"10282",2011,114121,1,6,2,93,1,0,0,1,5,0,1,0,4,"Less than High School",22900,"$20,000+",2,2,1,56
"10283",2011,114121,2,6,1,67,3,1,0,0,4,0,1,0,10,"High School or More",22900,"$20,000+",2,2,1,65
"10284",2011,114151,1,6,2,53,1,4,0,2,5,0,1,0,6,"High School or More",62800,"$20,000+",4,4,1,87
"10285",2011,114151,4,6,2,80,5,0,0,1,5,0,1,0,7,"High School or More",62800,"$20,000+",4,4,1,135
"10286",2011,114169,1,6,2,83,1,0,0,1,5,0,1,0,6,"High School or More",44900,"$20,000+",2,2,1,70
"10287",2011,114169,2,6,1,52,3,1,0,0,6,0,1,0,6,"High School or More",44900,"$20,000+",2,2,1,109
"10288",2011,114224,1,6,2,61,1,3,0,1,4,0,1,0,11,"High School or More",32700,"$20,000+",6,6,1,311
"10289",2011,114224,2,6,2,35,3,1,0,2,6,0,1,0,8,"High School or More",32700,"$20,000+",6,6,1,492
"10290",2011,114224,3,6,2,88,5,0,0,1,5,0,1,0,4,"Less than High School",32700,"$20,000+",6,6,1,425
"10291",2011,114224,4,6,1,14,9,2,0,0,6,0,1,0,2,"Less than High School",32700,"$20,000+",6,6,1,312
"10292",2011,114224,5,6,1,11,9,2,0,0,6,0,1,0,1,"Less than High School",32700,"$20,000+",6,6,1,313
"10293",2011,114224,6,6,2,48,11,0,0,1,6,0,1,0,6,"High School or More",32700,"$20,000+",6,6,1,278
"10294",2011,114538,1,6,2,85,1,0,0,1,5,0,1,0,6,"High School or More",31200,"$20,000+",3,3,1,53
"10295",2011,114538,2,6,2,57,3,1,0,0,1,1,1,0,8,"High School or More",31200,"$20,000+",3,3,1,66
"10296",2011,114538,3,6,1,60,4,0,0,0,1,1,1,0,6,"High School or More",31200,"$20,000+",3,3,1,64
"10297",2011,114570,1,6,1,82,1,0,0,1,4,0,1,0,7,"High School or More",37300,"$20,000+",2,2,1,66
"10298",2011,114570,2,6,1,53,3,0,1,0,4,0,1,0,6,"High School or More",37300,"$20,000+",2,2,1,121
"10299",2011,114583,1,6,2,87,1,0,0,1,1,1,1,0,7,"High School or More",79600,"$20,000+",3,3,1,61
"10300",2011,114583,2,6,1,93,2,0,0,1,1,1,1,0,6,"High School or More",79600,"$20,000+",3,3,1,59
"10301",2011,114583,3,6,1,57,3,1,2,0,4,0,1,0,6,"High School or More",79600,"$20,000+",3,3,1,69
"10302",2011,114603,1,6,1,83,1,0,0,1,1,1,1,0,6,"High School or More",23000,"$20,000+",6,6,1,42
"10303",2011,114603,2,6,2,78,2,0,0,1,1,1,1,0,1,"Less than High School",23000,"$20,000+",6,6,1,44
"10304",2011,114603,3,6,1,50,3,2,1,2,6,0,1,0,7,"High School or More",23000,"$20,000+",6,6,1,71
"10305",2011,114603,4,6,2,11,9,0,3,0,6,0,1,0,2,"Less than High School",23000,"$20,000+",6,6,1,42
"10306",2011,114603,5,6,1,6,9,0,3,0,6,0,1,0,1,"Less than High School",23000,"$20,000+",6,6,1,46
"10307",2011,114603,6,6,2,30,4,0,0,0,2,1,1,0,7,"High School or More",23000,"$20,000+",6,6,1,62
"10308",2011,114611,1,6,1,82,1,0,0,1,1,1,8,0,10,"High School or More",232000,"$20,000+",3,3,1,83
"10309",2011,114611,2,6,2,75,2,0,0,1,1,1,8,0,10,"High School or More",232000,"$20,000+",3,3,1,81
"10310",2011,114611,3,6,1,46,3,2,1,0,6,0,8,0,10,"High School or More",232000,"$20,000+",3,3,1,91
"10311",2011,114703,1,6,2,80,1,0,0,1,5,0,1,0,6,"High School or More",13100,"< $20,000",2,2,1,27
"10312",2011,114703,2,6,1,51,3,1,0,0,6,0,1,0,11,"High School or More",13100,"< $20,000",2,2,1,33
"10313",2011,114762,1,6,2,84,1,0,0,1,5,0,1,0,8,"High School or More",22630,"$20,000+",3,3,1,61
"10314",2011,114762,2,6,1,56,3,1,0,1,4,0,1,0,8,"High School or More",22630,"$20,000+",3,3,1,92
"10315",2011,114762,3,6,1,29,9,0,2,0,6,0,1,0,10,"High School or More",22630,"$20,000+",3,3,1,72
"10316",2011,114763,1,6,2,81,1,0,0,1,5,0,1,0,7,"High School or More",41100,"$20,000+",2,2,1,74
"10317",2011,114763,2,6,1,46,3,1,0,0,4,0,1,0,6,"High School or More",41100,"$20,000+",2,2,1,106
"10318",2011,114801,1,6,2,37,1,0,0,0,1,1,1,0,10,"High School or More",150600,"$20,000+",3,3,1,112
"10319",2011,114801,2,6,1,46,2,3,0,0,1,1,1,0,8,"High School or More",150600,"$20,000+",3,3,1,99
"10320",2011,114801,3,6,2,83,6,0,0,1,5,0,1,0,6,"High School or More",150600,"$20,000+",3,3,1,107
"10321",2011,114871,1,6,2,55,1,2,0,0,4,0,1,0,6,"High School or More",22940,"$20,000+",2,2,1,60
"10322",2011,114871,2,6,2,83,5,0,0,1,5,0,1,0,2,"Less than High School",22940,"$20,000+",2,2,1,88
"10323",2011,114953,1,6,1,81,1,0,0,1,1,1,1,0,11,"High School or More",63460,"$20,000+",3,3,1,102
"10324",2011,114953,2,6,2,82,2,0,0,1,1,1,1,0,10,"High School or More",63460,"$20,000+",3,3,1,109
"10325",2011,114953,3,6,1,55,3,2,1,0,4,0,1,0,8,"High School or More",63460,"$20,000+",3,3,1,153
"10326",2011,114976,1,6,2,85,1,0,0,1,5,0,1,0,6,"High School or More",68960,"$20,000+",2,2,1,121
"10327",2011,114976,2,6,1,52,3,1,0,0,6,0,1,0,8,"High School or More",68960,"$20,000+",2,2,1,162
"10328",2011,115591,1,6,2,79,1,0,0,2,1,1,1,0,6,"High School or More",44100,"$20,000+",4,4,1,69
"10329",2011,115591,2,6,1,83,2,0,0,2,1,1,1,0,6,"High School or More",44100,"$20,000+",4,4,1,70
"10330",2011,115591,3,6,1,58,3,1,2,0,6,0,1,0,6,"High School or More",44100,"$20,000+",4,4,1,100
"10331",2011,115591,4,6,1,41,3,1,2,0,6,0,1,0,6,"High School or More",44100,"$20,000+",4,4,1,91
"10332",2011,115677,1,6,1,50,1,4,0,2,4,0,1,0,10,"High School or More",152500,"$20,000+",4,4,1,171
"10333",2011,115677,2,6,2,19,3,0,1,0,6,0,1,0,6,"High School or More",152500,"$20,000+",4,4,1,161
"10334",2011,115677,3,6,1,18,3,0,1,0,6,0,1,0,6,"High School or More",152500,"$20,000+",4,4,1,165
"10335",2011,115677,4,6,2,83,5,0,0,1,5,0,1,0,2,"Less than High School",152500,"$20,000+",4,4,1,233
"10336",2011,115710,1,6,2,80,1,0,0,1,5,0,1,0,4,"Less than High School",103500,"$20,000+",2,2,1,52
"10337",2011,115710,2,6,1,56,3,1,0,0,4,0,1,0,6,"High School or More",103500,"$20,000+",2,2,1,65
"10338",2011,115793,1,6,1,83,1,0,0,1,1,1,1,0,7,"High School or More",66600,"$20,000+",3,3,1,125
"10339",2011,115793,2,6,2,83,2,0,0,1,1,1,1,0,6,"High School or More",66600,"$20,000+",3,3,1,124
"10340",2011,115793,3,6,1,56,3,2,1,0,3,0,1,0,6,"High School or More",66600,"$20,000+",3,3,1,143
"10341",2011,115876,1,6,2,93,1,0,0,1,5,0,1,0,6,"High School or More",116400,"$20,000+",5,5,1,46
"10342",2011,115876,2,6,1,58,3,1,0,2,1,1,1,0,10,"High School or More",116400,"$20,000+",5,5,1,58
"10343",2011,115876,3,6,1,20,9,5,2,0,6,0,1,0,7,"High School or More",116400,"$20,000+",5,5,1,54
"10344",2011,115876,4,6,2,15,9,5,2,0,6,0,1,0,3,"Less than High School",116400,"$20,000+",5,5,1,49
"10345",2011,115876,5,6,2,56,4,0,0,2,1,1,1,0,10,"High School or More",116400,"$20,000+",5,5,1,51
"10346",2011,115880,1,6,1,59,1,3,0,0,1,1,1,0,6,"High School or More",122000,"$20,000+",3,3,1,104
"10347",2011,115880,2,6,2,55,2,0,0,0,1,1,1,0,8,"High School or More",122000,"$20,000+",3,3,1,100
