"","YEAR","SERIAL","PERNUM","STATEFIP","RELATE","RELATED","MOMLOC","POPLOC","NCHILD","SEX","AGE","mother_age","father_age","MARST","married_dummy","RACE","HISPAN","EDUC","hs_binary","HHINCOME","inc_3cat","NUMPREC","FAMSIZE","PERWT"
"4739",2011,206414,2,6,3,301,0,1,0,1,56,NA,81,1,1,1,0,6,"High School or More",76400,"$20,000+",3,3,84
"4740",2011,206591,1,6,1,101,2,0,0,2,71,89,NA,4,0,1,0,6,"High School or More",40000,"$20,000+",2,2,61
"4741",2011,206645,2,6,3,301,0,1,0,1,49,NA,80,6,0,1,0,4,"Less than High School",20200,"$20,000+",2,2,79
"4742",2011,206654,3,6,3,303,2,1,0,1,29,80,82,6,0,1,0,11,"High School or More",56400,"$20,000+",3,3,228
"4743",2011,206676,2,6,3,301,1,0,0,2,62,93,NA,4,0,1,0,6,"High School or More",69400,"$20,000+",2,2,146
"4744",2011,206783,2,6,2,201,6,0,3,2,51,86,NA,1,1,1,0,11,"High School or More",318000,"$20,000+",6,6,75
"4745",2011,207277,2,6,3,301,0,1,1,2,58,NA,89,4,0,1,0,6,"High School or More",43740,"$20,000+",3,3,78
"4746",2011,207326,2,6,3,301,1,0,1,1,58,81,NA,4,0,1,0,6,"High School or More",25600,"$20,000+",3,3,72
"4747",2011,207383,2,6,3,301,0,1,0,1,51,NA,81,4,0,1,0,6,"High School or More",46100,"$20,000+",2,2,87
"4748",2011,207418,2,6,2,201,3,0,0,2,66,88,NA,1,1,1,0,6,"High School or More",64000,"$20,000+",3,3,62
"4749",2011,207427,2,6,2,201,6,0,3,1,48,85,NA,1,1,1,0,8,"High School or More",46600,"$20,000+",6,6,90
"4750",2011,207632,3,6,3,301,2,1,0,1,46,84,79,6,0,1,0,6,"High School or More",39300,"$20,000+",3,3,146
"4751",2011,207671,1,6,1,101,2,0,0,2,67,93,NA,5,0,1,0,11,"High School or More",42100,"$20,000+",2,2,42
"4752",2011,207780,2,6,3,301,1,0,0,1,50,88,NA,6,0,1,0,10,"High School or More",131500,"$20,000+",2,2,198
"4753",2011,207913,2,6,3,302,1,0,0,2,50,86,NA,6,0,1,0,7,"High School or More",61600,"$20,000+",2,2,92
"4754",2011,208036,1,6,1,101,0,3,0,1,60,NA,85,1,1,1,0,8,"High School or More",153000,"$20,000+",3,3,204
"4755",2011,208136,2,6,2,201,5,0,2,2,48,80,NA,1,1,1,0,6,"High School or More",63000,"$20,000+",5,5,86
"4756",2011,208177,3,6,3,301,2,1,0,2,47,76,80,6,0,1,0,11,"High School or More",100600,"$20,000+",3,3,155
"4757",2011,208287,1,6,1,101,0,2,0,1,67,NA,93,6,0,1,0,7,"High School or More",43400,"$20,000+",2,2,57
"4758",2011,208721,1,6,1,101,4,0,1,2,46,81,NA,1,1,1,0,7,"High School or More",183500,"$20,000+",4,4,103
"4759",2011,208780,1,6,1,101,5,0,2,2,50,82,NA,1,1,1,0,8,"High School or More",281000,"$20,000+",5,5,67
"4760",2011,208842,1,6,1,101,0,4,1,2,46,NA,89,1,1,1,0,6,"High School or More",211200,"$20,000+",4,4,97
"4761",2011,209018,2,6,3,301,0,1,0,2,58,NA,86,6,0,1,0,6,"High School or More",28900,"$20,000+",2,2,131
"4762",2011,209081,2,6,2,201,5,0,2,1,53,80,NA,1,1,1,0,6,"High School or More",83900,"$20,000+",5,5,264
"4763",2011,209182,1,6,1,101,3,0,0,2,62,80,NA,1,1,1,0,7,"High School or More",96700,"$20,000+",3,3,14
"4764",2011,209214,3,6,3,301,2,1,0,1,40,NA,83,6,0,1,0,6,"High School or More",958700,"$20,000+",3,3,43
"4765",2011,209224,2,6,3,301,0,1,0,1,53,NA,81,6,0,1,0,7,"High School or More",171640,"$20,000+",3,3,76
"4766",2011,209224,3,6,3,301,0,1,0,1,50,NA,81,6,0,1,0,10,"High School or More",171640,"$20,000+",3,3,75
"4767",2011,209374,1,6,1,101,3,0,1,2,62,88,NA,5,0,1,0,7,"High School or More",39100,"$20,000+",3,3,103
"4768",2011,209647,2,6,3,301,1,0,0,2,68,93,NA,6,0,1,0,10,"High School or More",76500,"$20,000+",3,3,97
"4769",2011,209647,3,6,3,301,1,0,0,2,51,93,NA,6,0,1,0,1,"Less than High School",76500,"$20,000+",3,3,93
"4770",2011,209648,2,6,3,301,0,1,0,1,53,NA,93,6,0,1,0,6,"High School or More",19300,"< $20,000",2,2,67
"4771",2011,209683,1,6,1,101,2,0,0,2,68,93,NA,6,0,1,0,10,"High School or More",96900,"$20,000+",2,2,84
"4772",2011,209721,2,6,3,301,1,0,0,2,57,87,NA,1,1,1,0,6,"High School or More",153600,"$20,000+",3,3,397
"4773",2011,209810,2,6,3,301,1,0,0,2,57,81,NA,6,0,1,0,6,"High School or More",20200,"$20,000+",2,2,97
"4774",2011,209946,3,6,3,301,2,1,0,1,50,78,83,6,0,1,0,6,"High School or More",95820,"$20,000+",3,3,112
"4775",2011,210286,2,6,2,201,4,0,1,2,53,85,NA,1,1,1,0,6,"High School or More",159410,"$20,000+",4,4,65
"4776",2011,210293,1,6,1,101,3,0,0,1,67,80,NA,1,1,1,0,8,"High School or More",129000,"$20,000+",3,3,51
"4777",2011,210333,1,6,1,101,2,0,0,2,60,81,NA,4,0,1,0,6,"High School or More",36000,"$20,000+",2,2,90
"4778",2011,210408,2,6,3,301,1,0,0,2,63,89,NA,1,1,1,0,6,"High School or More",21600,"$20,000+",3,3,564
"4779",2011,210487,2,6,3,301,1,0,3,1,71,93,NA,4,0,1,0,10,"High School or More",81610,"$20,000+",8,8,103
"4780",2011,210591,1,6,1,101,2,0,0,1,65,93,NA,4,0,1,0,10,"High School or More",115600,"$20,000+",2,2,51
"4781",2011,210608,2,6,3,301,1,0,0,2,69,93,NA,4,0,1,0,7,"High School or More",76200,"$20,000+",2,2,112
"4782",2011,210614,2,6,3,301,0,1,3,1,52,NA,83,1,1,1,0,6,"High School or More",26800,"$20,000+",6,6,74
"4783",2011,210714,1,6,1,101,0,5,2,1,48,NA,83,1,1,1,0,11,"High School or More",128600,"$20,000+",5,5,60
"4784",2011,210731,2,6,3,301,1,0,1,2,40,80,NA,1,1,1,0,10,"High School or More",97850,"$20,000+",4,4,141
"4785",2011,210898,2,6,3,301,1,0,0,1,48,81,NA,6,0,1,0,6,"High School or More",46300,"$20,000+",2,2,54
"4786",2011,210971,2,6,3,301,1,0,0,1,44,80,NA,6,0,1,0,10,"High School or More",33800,"$20,000+",2,2,79
"4787",2011,211008,2,6,2,201,3,0,0,2,57,93,NA,1,1,1,0,11,"High School or More",195090,"$20,000+",3,3,118
"4788",2011,211009,1,6,1,101,2,0,0,1,65,93,NA,4,0,1,0,7,"High School or More",27600,"$20,000+",2,2,107
"4789",2011,211183,3,6,3,301,2,1,0,2,50,80,83,2,1,1,0,6,"High School or More",28200,"$20,000+",3,3,152
